MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
7382221,171150922,04/25/2017,04/25/2017,08:00:00,04/25/2017,08:37:00,509,,,36 JOHN PORTMAN BLVD NE,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Downtown,M,-84.38561,33.760739999999998
7382222,171150950,04/25/2017,04/25/2017,08:40:00,04/25/2017,08:40:00,402,,,1137 ARLINGTON AVE SW;,0690,2399,,1,Day,Tue,20,LARCENY-NON VEHICLE,Oakland City,S,-84.425079999999994,33.724820000000001
7382223,171151003,04/25/2017,04/25/2017,09:10:00,04/25/2017,09:14:00,112,,,3272 KINGSTON RD NW,0341,1206,,1,Day,Tue,13,ROBBERY-PEDESTRIAN,Collier Heights,I,-84.494659999999996,33.779420000000002
7382224,171151010,04/25/2017,03/31/2017,08:00:00,04/22/2017,10:00:00,408,APT,D9,1829 CAMPBELLTON RD SW,0210,1103,20,1,Unk,Unk,20,RAPE,Venetian Hills,S,-84.448629999999994,33.710000000000001
7382225,171151057,04/25/2017,04/25/2017,09:30:00,04/25/2017,09:36:00,405,,,2827 TEE RD SW,0511,2202,,1,Day,Tue,20,BURGLARY-RESIDENCE,Harland Terrace,I,-84.480599999999995,33.750950000000003
7382226,171151066,04/25/2017,04/23/2017,22:30:00,04/25/2017,09:40:00,109,,,2619 DONALD LEE HOLLOWELL PKWY NW,0670,2308,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Center Hill,J,-84.472539999999995,33.775790000000001
7382227,171151123,04/25/2017,04/25/2017,10:00:00,04/25/2017,10:20:00,505,,,867 PEACHTREE ST,0670,2308,,0,Day,Tue,,LARCENY-NON VEHICLE,Midtown,E,-84.384209999999996,33.778289999999998
7382228,171151143,04/25/2017,03/25/2017,15:00:00,04/25/2017,10:15:00,408,,,1971 VENETIAN DR SW,0690,2399,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Venetian Hills,S,-84.452820000000003,33.715020000000003
7382229,171151177,04/25/2017,02/23/2017,00:00:00,04/25/2017,10:00:00,407,,S9,320 FAIRBURN RD SW,0521,2204,40,1,Unk,Unk,26,BURGLARY-RESIDENCE,Fairburn Mays,H,-84.508579999999995,33.745100000000001
7382230,171151182,04/25/2017,04/25/2017,10:35:00,04/25/2017,11:28:00,309,,,2685 METROPOLITAN PKWY SW,0630,2303,10,1,Day,Tue,12,LARCENY-NON VEHICLE,Perkerson,X,-84.409019999999998,33.682740000000003
